SETOR;SUBSETOR;PRODUTO;NCM;DESC_NCM;IND_MAPA;IND_OMC;DESC_ISIC_SECAO;IND_PRODUTO_AGRO_ONI
ANIMAIS VIVOS (EXCETO PESCADOS);ABELHAS VIVAS;ABELHAS VIVAS;1064100;ABELHAS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);AVES DE RAPINA VIVAS;AVES DE RAPINA VIVAS;1063100;AVES DE RAPINA,VIVAS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;1060010;AVESTRUZES 'STRUTHIO CAMELUS' PARA REPRODUCAO;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;1063310;AVESTRUZES (STRUTHIO CAMELUS), PARA REPRODUCAO;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;1063390;OUTROS AVESTRUZES;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;1063910;AVESTRUZES PARA REPRODUCAO;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1021010;BOVINOS REPRODUT.DE RACA PURA,PRENHE OU COM CRIA AO PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1021090;BOVINOS REPRODUT.DE RACA PURA,EXC.PRENHE/COM CRIA AO PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1022110;BOVINOS REPRODUTORES RACA PURA, PRENHE OU C/ CRIA AO PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1022190;OUTROS BOVINOS REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1022911;OUTROS BOVINOS PARA REPRODUCAO, PRENHE OU C/ CRIA AO PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1022919;OUTROS BOVINOS PARA REPRODUCAO;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1022990;OUTROS BOVINOS VIVOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1029000;OUTROS ANIMAIS VIVOS DA ESPECIE BOVINA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1029011;OUTS.BOVINOS PARA REPRODUCAO,PRENHES OU COM CRIA AO PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1029019;OUTS.BOVINOS PARA REPRODUCAO;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;1029090;OUTROS BOVINOS VIVOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;1023110;BUFALOS REPRODUTORES DE RACA PURA, PRENHE OU COM CRIA A;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;1023190;OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;1023911;OUTROS BUFALOS P/REPRO.,EXC.RACA PURA,PREN.OU C/CRIA PE;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;1023919;OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;1023990;OUTROS BUFALOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAMELOS E OUTROS CAMELIDEOS VIVOS;CAMELOS E OUTROS CAMELIDEOS VIVOS;1061300;CAMELOS E OUTROS CAMELIDEOS (CAMELIDAE);1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;1011090;ASININOS E MUARES,REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;1012000;ASININOS E MUARES VIVOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;1013000;ANIMAIS ESPECIE ASININA/MUAR, REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;1019000;ANIMAIS ESPECIE ASININA/MUAR, EXCETO REPROD. RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;1019090;ASININOS E MUARES.VIVOS,EXC.REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1011010;CAVALOS REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1011100;CAVALOS REPRODUTORES,DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1011900;OUTROS CAVALOS,VIVOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1012100;CAVALOS REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1012900;CAVALOS VIVOS, EXCETO REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;1019010;CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);COELHOS E LEBRES VIVOS;COELHOS E LEBRES VIVOS;1061400;COELHOS E LEBRES;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALINHAS DANGOLA VIVAS;GALINHAS DANGOLA VIVAS;1051500;GALINHAS DANGOLA - PINTADAS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;1051110;GALOS/GALINHAS(PINTOS),P<=185G,LINHA PURA/HIBR.P/REPROD;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;1051190;OUTROS GALOS E GALINHAS (PINTOS),VIVOS,DE PESO<=185G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;1059200;OUTROS GALOS E GALINHAS,VIVOS,DE PESO<=2.000G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;1059300;GALOS E GALINHAS,VIVOS,DE PESO SUPERIOR A 2.000G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;1059400;GALOS E GALINHAS,VIVOS,DE PESO>185G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);GANSOS VIVOS;GANSOS VIVOS;1051400;GANSOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;1051900;PATOS,GANSOS,GALINHAS D'ANGOLA (FILHOTES),VIVOS,P<=185G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;1059900;PATOS,GANSOS,PERUS,PERUAS,ETC.VIVOS,DE PESO>185G;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;1060000;OUTROS ANIMAIS VIVOS;1;1;Agropecuária;1
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;1060090;OUTROS ANIMAIS VIVOS;1;1;Agropecuária;1
