NCM;DESC_NCM;CATEGORIA
10011100;Trigo duro, para semeadura;SEMENTES
10019010;Trigo (exceto trigo duro) para semeadura;SEMENTES
10019090;Trigo (exceto trigo duro ou para semeadura), e trigo com centeio;SEMENTES
10019100;Outrros trigos e misturas de trigo com centeio, para semeadura;SEMENTES
10020010;Centeio para semeadura;SEMENTES
10021000;Centeio, para semeadura;SEMENTES
10030098;Cevada em grão, exceto cervejeira ou para semeadura;SEMENTES
10031000;Cevada, para semeadura;SEMENTES
10040010;Aveia para semeadura;SEMENTES
10041000;Aveia, para semeadura;SEMENTES
10051000;Milho para semeadura;SEMENTES
10061010;Arroz com casca (arroz paddy), para semeadura;SEMENTES
10070010;Sorgo em grão para semeadura;SEMENTES
10071000;Sorgo de grão, para semeadura;SEMENTES
10082010;Painço para semeadura;SEMENTES
10082110;Milheto (Pennisetum glaucum), para semeadura;SEMENTES
10082190;Outros painços, para semeadura;SEMENTES
10083010;Alpiste para semeadura;SEMENTES
10085010;Quinoa (Chenopodium quinoa), para semeadura;SEMENTES
10089010;Outros cereais para semeadura;SEMENTES
12010010;Soja para semeadura;SEMENTES
12011000;Soja, mesmo triturada, para semeadura;SEMENTES
12022010;Amendoins descascados, para semeadura;SEMENTES
12023000;Amendoins, não torrados nem cozidos, para semeadura;SEMENTES
12040010;Sementes de linho (linhaça) para semeadura;SEMENTES
12050010;Sementes de nabo silvestre ou de colza, para semeadura;SEMENTES
12051010;Sementes de nabo silvestre, baixo teor, para semeadura;SEMENTES
12059010;Outras sementes de nabo silvestre, para semeadura;SEMENTES
12060010;Sementes de girassol, para semeadura;SEMENTES
12071010;"Nozes e """"palmiste"""", para semeadura";SEMENTES
12072010;Sementes de algodão, para semeadura;SEMENTES
12072100;Sementes de algodão, para semeadura;SEMENTES
12073010;Sementes de rícino, para semeadura;SEMENTES
12074010;Sementes de gergelim, para semeadura;SEMENTES
12075010;Sementes de mostarda, para semeadura;SEMENTES
12077010;Sementes de melão, para semeadura;SEMENTES
12079110;Sementes de dormideira ou papoula, para semeadura;SEMENTES
12079910;Outras sementes e frutos oleaginosos, para semeadura;SEMENTES
12079919;Outras sementes e frutos oleaginosos, mesmo triturados, para semeadura;SEMENTES
12091000;Sementes de beterraba sacarina, para semeadura;SEMENTES
12091100;Sementes de beterraba sacarina, para semeadura;SEMENTES
12091900;Sementes de outras beterrabas, para semeadura;SEMENTES
12092100;Sementes de alfafa (luzerna), para semeadura;SEMENTES
12092200;Sementes de trevo (Trifolium spp), para semeadura;SEMENTES
12092300;Sementes de festuca, para semeadura;SEMENTES
12092400;Sementes de pasto dos prados do Kentucky, para semeadura;SEMENTES
12092500;Sementes de azevém, para semeadura;SEMENTES
12092900;Outras sementes forrageiras, para semeadura;SEMENTES
12093000;Sementes de plantas herbáceas, cultivadas para flores, para semeadura;SEMENTES
12099100;Sementes de produtos hortícolas, para semeadura;SEMENTES
12099900;Outras sementes, frutos e esporos, para semeadura;SEMENTES
31010000;"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal";FERTILIZANTES
31021010;Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco;FERTILIZANTES
31021090;Outra ureia, mesmo em solução aquosa;FERTILIZANTES
