NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,1020,Unidades,33732,1,Brasil,630,Número de empresas,2021,2021,117897,Total
1,Brasil,1020,Unidades,887,1,Brasil,630,Número de empresas,2021,2021,116880,B Indústrias extrativas
1,Brasil,1020,Unidades,11,1,Brasil,630,Número de empresas,2021,2021,116881,05 Extração de carvão mineral
1,Brasil,1020,Unidades,11,1,Brasil,630,Número de empresas,2021,2021,116882,05.0 Extração de carvão mineral
1,Brasil,1020,Unidades,11,1,Brasil,630,Número de empresas,2021,2021,116883,05.00-3 Extração de carvão mineral
1,Brasil,1020,Unidades,37,1,Brasil,630,Número de empresas,2021,2021,116884,06 Extração de petróleo e gás natural
1,Brasil,1020,Unidades,37,1,Brasil,630,Número de empresas,2021,2021,116885,06.0 Extração de petróleo e gás natural
1,Brasil,1020,Unidades,37,1,Brasil,630,Número de empresas,2021,2021,116886,06.00-0 Extração de petróleo e gás natural
1,Brasil,1020,Unidades,97,1,Brasil,630,Número de empresas,2021,2021,116887,07 Extração de minerais metálicos
1,Brasil,1020,Unidades,48,1,Brasil,630,Número de empresas,2021,2021,116888,07.1 Extração de minério de ferro
1,Brasil,1020,Unidades,48,1,Brasil,630,Número de empresas,2021,2021,116889,07.10-3 Extração de minério de ferro
1,Brasil,1020,Unidades,49,1,Brasil,630,Número de empresas,2021,2021,116890,07.2 Extração de minerais metálicos não-ferrosos
1,Brasil,1020,Unidades,7,1,Brasil,630,Número de empresas,2021,2021,116891,07.21-9 Extração de minério de alumínio
1,Brasil,1020,Unidades,3,1,Brasil,630,Número de empresas,2021,2021,116892,07.22-7 Extração de minério de estanho
1,Brasil,1020,Unidades,4,1,Brasil,630,Número de empresas,2021,2021,116893,07.23-5 Extração de minério de manganês
1,Brasil,1020,Unidades,22,1,Brasil,630,Número de empresas,2021,2021,116894,07.24-3 Extração de minério de metais preciosos
1,Brasil,1020,Unidades,-,1,Brasil,630,Número de empresas,2021,2021,116895,07.25-1 Extração de minerais radioativos
1,Brasil,1020,Unidades,13,1,Brasil,630,Número de empresas,2021,2021,116896,07.29-4 Extração de minerais metálicos não-ferrosos não especificados anteriormente
1,Brasil,1020,Unidades,662,1,Brasil,630,Número de empresas,2021,2021,116897,08 Extração de minerais não-metálicos
1,Brasil,1020,Unidades,568,1,Brasil,630,Número de empresas,2021,2021,116898,"08.1 Extração de pedra, areia e argila"
1,Brasil,1020,Unidades,568,1,Brasil,630,Número de empresas,2021,2021,116899,"08.10-0 Extração de pedra, areia e argila"
1,Brasil,1020,Unidades,94,1,Brasil,630,Número de empresas,2021,2021,116900,08.9 Extração de outros minerais não-metálicos
1,Brasil,1020,Unidades,20,1,Brasil,630,Número de empresas,2021,2021,116901,"08.91-6 Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
1,Brasil,1020,Unidades,17,1,Brasil,630,Número de empresas,2021,2021,116902,08.92-4 Extração e refino de sal marinho e sal-gema
1,Brasil,1020,Unidades,5,1,Brasil,630,Número de empresas,2021,2021,116903,08.93-2 Extração de gemas (pedras preciosas e semipreciosas)
1,Brasil,1020,Unidades,52,1,Brasil,630,Número de empresas,2021,2021,116904,08.99-1 Extração de minerais não-metálicos não especificados anteriormente
1,Brasil,1020,Unidades,80,1,Brasil,630,Número de empresas,2021,2021,116905,09 Atividades de apoio à extração de minerais
1,Brasil,1020,Unidades,60,1,Brasil,630,Número de empresas,2021,2021,116906,09.1 Atividades de apoio à extração de petróleo e gás natural
1,Brasil,1020,Unidades,60,1,Brasil,630,Número de empresas,2021,2021,116907,09.10-6 Atividades de apoio à extração de petróleo e gás natural
1,Brasil,1020,Unidades,20,1,Brasil,630,Número de empresas,2021,2021,116908,"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
1,Brasil,1020,Unidades,20,1,Brasil,630,Número de empresas,2021,2021,116909,"09.90-4 Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
1,Brasil,1020,Unidades,32845,1,Brasil,630,Número de empresas,2021,2021,116910,C Indústrias de transformação
1,Brasil,1020,Unidades,5004,1,Brasil,630,Número de empresas,2021,2021,116911,10 Fabricação de produtos alimentícios
1,Brasil,1020,Unidades,974,1,Brasil,630,Número de empresas,2021,2021,116912,10.1 Abate e fabricação de produtos de carne
1,Brasil,1020,Unidades,426,1,Brasil,630,Número de empresas,2021,2021,116913,"10.11-2 Abate de reses, exceto suínos"
1,Brasil,1020,Unidades,293,1,Brasil,630,Número de empresas,2021,2021,116914,"10.12-1 Abate de suínos, aves e outros pequenos animais"
1,Brasil,1020,Unidades,255,1,Brasil,630,Número de empresas,2021,2021,116915,10.13-9 Fabricação de produtos de carne
1,Brasil,1020,Unidades,120,1,Brasil,630,Número de empresas,2021,2021,116916,10.2 Preservação do pescado e fabricação de produtos do pescado
1,Brasil,1020,Unidades,120,1,Brasil,630,Número de empresas,2021,2021,116917,10.20-1 Preservação do pescado e fabricação de produtos do pescado
1,Brasil,1020,Unidades,354,1,Brasil,630,Número de empresas,2021,2021,116918,"10.3 Fabricação de conservas de frutas, legumes e outros vegetais"
1,Brasil,1020,Unidades,196,1,Brasil,630,Número de empresas,2021,2021,116919,10.31-7 Fabricação de conservas de frutas
1,Brasil,1020,Unidades,66,1,Brasil,630,Número de empresas,2021,2021,116920,10.32-5 Fabricação de conservas de legumes e outros vegetais
1,Brasil,1020,Unidades,92,1,Brasil,630,Número de empresas,2021,2021,116921,"10.33-3 Fabricação de sucos de frutas, hortaliças e legumes"
1,Brasil,1020,Unidades,97,1,Brasil,630,Número de empresas,2021,2021,116922,10.4 Fabricação de óleos e gorduras vegetais e animais
1,Brasil,1020,Unidades,67,1,Brasil,630,Número de empresas,2021,2021,116923,"10.41-4 Fabricação de óleos vegetais em bruto, exceto óleo de milho"
1,Brasil,1020,Unidades,24,1,Brasil,630,Número de empresas,2021,2021,116924,"10.42-2 Fabricação de óleos vegetais refinados, exceto óleo de milho"
1,Brasil,1020,Unidades,6,1,Brasil,630,Número de empresas,2021,2021,116925,10.43-1 Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
1,Brasil,1020,Unidades,687,1,Brasil,630,Número de empresas,2021,2021,116926,10.5 Laticínios
1,Brasil,1020,Unidades,84,1,Brasil,630,Número de empresas,2021,2021,116927,10.51-1 Preparação do leite
1,Brasil,1020,Unidades,435,1,Brasil,630,Número de empresas,2021,2021,116928,10.52-0 Fabricação de laticínios
1,Brasil,1020,Unidades,168,1,Brasil,630,Número de empresas,2021,2021,116929,10.53-8 Fabricação de sorvetes e outros gelados comestíveis
1,Brasil,1020,Unidades,738,1,Brasil,630,Número de empresas,2021,2021,116930,"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais"
