ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2023;231017;Masculino;25 a 34;26;Superior completo;Conhece mais ou menos;Conhece bem;Boa;Ótima;Boa;Ótima;Capital;Trabalha;5 a 10 SM;AC;0.1803026174045238
2023;231033;Feminino;25 a 34;29;Médio completo;Conhece bem;Conhece bem;Ótima;Ótima;Ótima;Ótima;Capital;Trabalha;1 a 2 SM;AC;0.2713943809924055
2023;231045;Masculino;35 a 44;40;Superior completo;Conhece mais ou menos;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Interior;Trabalha;3 a 5 SM;AC;0.10415417287099696
2023;231125;Masculino;60 ou mais;60;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Ótima;nan;Ótima;Interior;Trabalha;1 a 2 SM;AC;0.07250812172685384
2023;231143;Feminino;45 a 59;58;Superior completo;Conhece mais ou menos;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Capital;Trabalha;NS/NR;AC;0.0863376770619177
2023;231161;Feminino;60 ou mais;55;Superior completo;Conhece bem;Conhece mais ou menos;Ótima;Boa;Ótima;Boa;Capital;Trabalha;5 a 10 SM;AC;0.08824183696782949
2023;231170;Feminino;25 a 34;34;Superior completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Boa;Ótima;Ótima;Capital;Trabalha;5 a 10 SM;AC;0.2713943809924055
2023;231176;Masculino;45 a 59;57;Superior completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Boa;Boa;Boa;Interior;Trabalha;5 a 10 SM;AC;0.060129265550579965
2023;231202;Feminino;35 a 44;44;Superior completo;Conhece bem;Conhece bem;Ótima;Ótima;Ótima;Ótima;Capital;Trabalha;5 a 10 SM;AC;0.11634646043301534
2023;231221;Masculino;45 a 59;58;Fund. 1 completo;Conhece bem;Conhece bem;Ótima;Ótima;Boa;Ótima;Interior;Trabalha;3 a 5 SM;AC;0.060129265550579965
2023;231240;Masculino;35 a 44;nan;Superior completo;Conhece só de ouvir falar;Conhece bem;Boa;Ótima;Boa;Ótima;Capital;Trabalha;1 a 2 SM;AC;0.10415417287099696
2023;231249;Masculino;25 a 34;35;Médio completo;Conhece mais ou menos;Conhece só de ouvir falar;Péssima;Péssima;Péssima;Péssima;Capital;Trabalha;Até 1 SM;AC;0.1803026174045238
2023;231252;Feminino;16 a 24;22;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Regular;Boa;Regular;Regular;Capital;Não trabalha;3 a 5 SM;AC;0.5648441706357159
2023;231254;Feminino;35 a 44;37;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Interior;Não trabalha;Até 1 SM;AC;0.11634646043301534
2023;231261;Masculino;45 a 59;50;Superior completo;Conhece bem;Conhece bem;Ótima;Péssima;Boa;Boa;Capital;Trabalha;Mais de 10 SM;AC;0.060129265550579965
2023;231264;Masculino;35 a 44;nan;Médio completo;Não sabe;Conhece mais ou menos;nan;Boa;nan;Ótima;Interior;Trabalha;1 a 2 SM;AC;0.10415417287099696
