CNPJ Radical,Estabelecimento
21096,417
25160,195
25160,780
28986,108
28986,2070
28986,3042
37457,170
48785,172
48785,3279
57240,122
74569,100
74569,1840
74569,4946
74569,6302
80671,100
80671,614
80671,1181
80671,1262
80671,6736
80671,7384
80782,116
82024,137
95840,185
119633,113
122473,161
145602,137
153282,167
164925,178
190373,172
253137,158
253137,239
253137,409
253137,2010
253137,2100
278016,160
280273,137
280273,218
280273,2261
283822,127
303732,150
308527,188
310651,188
321975,111
322818,120
322818,3570
322818,3650
331788,119
331788,623
331788,2405
331788,3053
331788,3304
331788,5005
331788,5773
331788,6311
331788,6907
331788,9841
336701,104
341857,175
349443,192
350242,105
357038,116
357038,205
357038,540
357038,892
357038,1198
357038,1279
357038,3484
357038,4880
357038,11908
357038,12041
357038,13447
362831,103
362831,537
362831,880
362831,1185
373125,167
373732,127
386430,274
386430,355
395988,1450
416170,151
436334,102
436334,455
455984,367
455984,529
464830,170
465813,157
465813,238
465813,319
465813,408
465813,580
489050,184
489050,2985
496586,631
514820,100
514820,606
514820,797
514820,1173
532740,179
532740,250
532740,683
532740,926
543035,258
552646,181
552646,1234
570505,191
584755,180
588458,103
592603,120
592603,200
592603,2505
601731,192
606549,124
606549,2682
644907,193
655209,193
680516,124
684808,135
684808,216
700460,122
733658,102
747901,222
763251,128
763251,470
763251,713
763832,160
767144,178
767144,500
771979,282
771979,444
771979,606
774265,147
784595,113
786246,130
789312,126
789312,479
789312,630
789312,800
789312,1017
789312,1106
794161,102
794161,870
794161,951
794161,1095
794161,1176
794161,1257
794161,1338
794161,1419
806881,132
820120,135
820120,801
835301,640
835301,1107
841654,148
843966,190
843966,352
844237,400
844237,906
844237,1040
844237,1120
849898,177
853157,160
853157,836
857758,140
857758,1201
857758,2003
857758,2356
861626,192
868626,114
879252,132
891935,105
907845,165
912882,161
913443,173
913443,254
913443,688
913443,1730
924429,175
924429,256
924429,337
924429,418
924429,680
924429,760
924429,841
924429,922
938574,105
940956,173
954394,117
954394,389
954394,540
954394,621
954394,974
954716,209
969944,171
969944,252
970934,156
970934,660
970934,903
981451,157
986846,908
988303,164
990842,138
990842,308
1002612,186
1013724,132
1027335,166
1098983,103
1098983,6306
1098983,9240
1098983,17189
1127876,166
1141531,167
1144673,188
1166372,155
1166372,821
1178298,197
1178298,510
1178298,782
1178298,944
1178298,2130
1186305,607
1189830,171
1203549,227
1245906,139
1254591,196
1258944,126
1258944,2099
1261681,104
1280003,199
1287588,179
1287588,926
1294551,178
1339808,160
1340384,154
1340384,588
1350934,116
1358874,188
1358874,1311
1360869,100
1370480,145
1371416,189
1371925,101
1371925,454
1376079,112
1393074,106
1417222,177
1417222,258
1417222,339
1440590,136
1442702,198
1446396,249
1478812,100
1525162,378
1527225,163
1541283,141
1543032,104
1551272,142
1551272,819
1551272,908
1554846,136
1559964,137
1571702,198
1571702,864
1577578,178
1586212,165
1594992,195
1599436,101
1601851,314
1601851,403
1610517,165
1612795,151
1615814,101
1615814,2228
1615814,4433
1615814,6487
1616929,102
1635544,192
1637593,164
1637895,132
1637895,302
1637895,7498
1637895,8702
1637895,8893
1637895,9431
1637895,9946
1637895,10367
1637895,10600
1637895,13382
1637895,14192
1637895,14605
1637895,17701
1641045,108
1641045,299
1641045,531
1641045,612
1641045,965
1641045,1180
1641045,1341
1641045,1422
1641045,1694
1642931,156
1655350,159
1662868,110
1669679,179
1685903,116
1691944,115
1691944,204
1697279,177
1697279,924
1715975,169
1717285,149
1730520,112
1730520,899
1730520,1194
1730520,1518
1731676,118
1731676,207
1731676,460
1752556,105
1753491,104
1755087,170
1770039,150
1776765,180
1784792,103
1795995,430
1838723,127
1838723,208
1838723,1018
1838723,6672
1838723,6753
1838723,6915
1838723,7059
1838723,7130
1838723,7210
1838723,7300
1838723,7725
1838723,8454
1838723,8969
1838723,10513
1838723,10602
1838723,11323
1838723,13296
1838723,16201
1838723,17283
1838723,19227
1838723,25626
1838723,25707
1838723,25979
1838723,26355
1838723,26436
1838723,27912
1838723,28056
1838723,30891
1838723,33483
1838723,33998
1838723,34617
1838723,35001
1838723,36407
1838723,37632
1838723,38876
1838723,41311
1838723,42474
1838723,42555
1838723,43870
1838723,44337
1838723,44922
1838723,46461
1838723,47271
1838723,49487
1838723,51031
1844555,182
1844555,2045
1844555,2126
1844555,2398
1844555,2630
1844555,2800
1851716,165
1856022,110
1861489,159
1861489,400
1917818,136
1930685,138
1933349,149
1933349,572
1935393,198
1935393,279
1935393,511
1939979,120
1939979,392
1940049,197
1942223,130
1942223,483
1958324,108
1961898,127
1965363,124
1965363,477
1965363,558
1965363,1015
1998585,143
1998585,810
1998585,1204
1998585,1549
1998585,1700
1998585,1891
1998585,1972
1998585,2006
1998585,2197
2003575,193
2011086,183
2013199,118
2016440,162
2016440,20279
2016507,169
2016507,320
2016507,3850
2016507,4822
2017451,167
2025334,579
2036483,452
2036483,614
2041460,193
2041460,355
2041460,436
2041460,789
2041460,860
2041460,940
2041460,1084
2041460,1165
2041460,1246
2041460,1327
2041460,1408
2041460,1599
2041460,1670
2041460,1750
2041460,1831
2041460,1912
2041460,2056
2041460,2137
2041460,2307
2041460,2480
2041460,2560
2041460,2722
2041460,2803
2041460,2994
2041460,3028
2041460,3109
2041460,3885
2041460,4504
2041460,9140
2041460,9220
2045487,154
2045487,901
2058930,121
2068925,108
2069153,110
2095850,146
2096748,246
2097007,107
2110294,130
2119258,218
2139237,183
2139237,1902
2147467,194
2147467,275
2147467,356
2147467,518
2147467,780
2147467,860
2147467,1085
2150327,175
2150336,166
2162259,326
2162259,750
2173216,184
2214604,166
2221155,183
2221358,170
2228721,189
2234234,129
2235994,150
2235994,312
2235994,584
2236908,124
2270981,112
2279324,136
2279324,2007
2281836,137
2281836,480
2284444,121
2284444,202
2284444,393
2290277,121
2290277,636
2290277,2507
2290510,176
2290510,257
2290510,419
2292653,117
2292657,103
2300466,138
2302100,106
2302101,142
2326750,183
2328280,197
2328280,278
2329713,129
2329713,200
2329713,1605
2329713,1958
2329713,2091
2329713,2253
2329713,3063
2329713,3144
2329713,3578
2332686,143
2332686,909
2339308,191
2341467,120
2341470,144
2341494,101
2357659,125
2359572,278
2359572,359
2359572,430
2364069,391
2415408,150
2421421,111
2421421,626
2421421,707
2421421,979
2421421,1193
2421421,1789
2421421,2084
2421421,2912
2428472,175
2429732,127
2429732,399
2433691,142
2451848,162
2454348,184
2464189,107
2465954,103
2474103,119
2474103,461
2474103,542
2474103,623
2474103,895
2474103,976
2474103,1271
2474103,1514
2474103,3487
2489982,152
2489991,143
2502844,166
2508145,123
2511048,190
2534069,120
2536066,126
2536066,479
2536066,550
2536066,630
2536066,1521
2536066,1874
2536066,2331
2542120,146
2551474,157
2558157,162
2558157,243
2558157,324
2558157,405
2558157,596
2558157,677
2558157,758
2558157,839
2558157,910
2558157,1053
2558157,1134
2558157,1215
2558157,1304
2558157,1487
2558157,1568
2558157,1649
2558157,1720
2558157,1800
2558157,1991
2558157,2025
2558157,2106
2558157,2297
2558157,2378
2558157,2459
2558157,2530
2558157,2610
2558157,2700
2558157,17804
2558157,18029
2558157,30908
2558157,63164
2558157,67070
2558157,69952
2591772,170
2591772,332
2591772,685
2591772,766
2594636,134
2602726,120
2602726,200
2612907,137
2614594,156
2614911,215
2614911,304
2634915,184
2634915,508
2645941,108
2645941,450
2645941,612
2645941,965
2661790,181
2663810,153
2693750,111
2693750,626
2693750,2831
2693750,2912
2696800,114
2709992,156
2712119,112
2728677,176
2728677,338
2735385,160
2736595,173
2748305,101
2748305,616
2748323,193
2748342,110
2748342,462
2748342,896
2748357,188
2748357,340
2750988,131
2754941,146
2773531,142
2777131,105
2778274,131
2779315,104
2782918,165
2807845,119
2814286,174
2814286,255
2814497,107
2814497,298
2814497,450
2814497,530
2814497,700
2814497,883
2820966,109
2830943,177
2830943,258
2839894,133
2864417,2090
2864417,2171
2864417,2333
2864417,3062
2864417,3143
2864417,3909
2864417,4034
2864417,4204
2864417,4387
2865246,151
2865246,585
2865246,1476
2865246,2448
2884362,118
2886413,493
2895152,125
2907841,102
2914460,150
2914460,3761
2914460,4490
2914460,5039
2914460,6272
2914460,7406
2914460,8720
2914460,9298
2914460,11195
2914460,13309
2914460,21077
2918654,124
2918654,558
2918654,639
2918654,1015
2918654,1104
2918654,1287
2918654,1449
2918654,1791
2918654,1872
2924249,119
2948030,150
2948030,230
2957104,114
2957104,1277
2957518,224
2957518,305
2957518,577
2957518,739
2957518,810
2957518,909
2957518,1034
2957518,1115
2957518,1204
2957518,1387
2957518,1468
2957518,1700
2957518,1891
2986723,137
2990334,185
2990605,100
2990605,526
2990605,607
2990605,798
2990605,879
2990605,950
2990605,1174
2990605,1760
2995367,118
2998301,181
2998609,127
2998611,104
3005123,103
3006548,137
3007414,130
3013973,315
3013973,749
3029980,143
3043678,140
3049181,139
3071894,107
3080418,144
3083850,199
3083850,270
3119115,198
3119551,167
3119806,191
3123987,120
3125730,107
3125730,298
3125730,450
3132254,151
3134910,155
3191756,153
3192243,167
3196885,134
3206039,158
3207703,183
3241423,191
3249921,180
3264927,127
3281950,472
3324048,143
3327988,196
3327988,358
3327988,439
3327988,943
3331026,100
3334170,109
3336687,129
3350300,199
3359885,108
3367065,400
3368638,178
3380763,101
3380763,284
3380763,446
3380763,608
3380763,1175
3380763,1507
3384037,159
3387396,160
3398583,149
3400080,160
3445208,102
3461082,160
3461082,240
