ano;id;razao;setor;dr;en02;ap02;av01;av01_other;ginastica;vacinacao;nutricao;gestao;pcmso;pcmat;ppra;encerrar;av03;av04;av05_1;av05_1_comment;av05_2;av05_2_comment;av06;av08;av09_1;av09_2;av09_3;av09_4;av09_5;av09_6;av09_7;av10;av13;av14
2023;231039;A. C. D. A. IMPORTAÇÃO E EXPORTAÇÃO LTDA;Comércio;AC;Sim;De acordo;Outro;Gerente de RH;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Não sabe;Sim;Palestras e treinamentos.;Não;;Não sabe;;;;;;Não sabe;;Não sabe;10;;Não
2023;231017;AÇOUGUE E MERCEARIA MESQUITA;Comércio;AC;Sim;De acordo;Outro;Gerente;Não;Não;Não;Não;Sim;Não;Não;Não;Média;Não se alterou;Sim;Palestras.;Não;;Não se alterou;;;;;;Aumentou;;;10;;Sim
2023;231008;ACRE FRIO;Serviços;AC;Sim;De acordo;Outro;Proprietário;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;Não se alterou;Não se alterou;Melhorou;;Não se alterou;;Não se alterou;10;;Sim
2023;231027;ACRE PUBLICIDADE;Indústria;AC;Sim;De acordo;Outro;Administrador;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Reduziu;Não;;Não;;Aumentou muito;Não, devido a outros fatores;;;;;Reduziu;;Aumentou;9;;Sim
2023;231059;ACRE SERVICE;Comércio;AC;Não;De acordo;;;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231025;AGRO NORTE;Comércio;AC;Sim;De acordo;Outro;Gerente de RH;Não;Não;Não;Não;Sim;Não;Não;Não;Média;Não se alterou;Não;;Sim;Técnico em segurança do trabalho terceirizado;Reduziu;;;;;;Não se alterou;;;9;;Sim
2023;231010;ALB CONSTRUCAO E INCORPORACAO LTDA;Construção;AC;Sim;De acordo;Supervisor Coordenador de área de Saúde e Segurança do Trabalho;;Não;Sim;Não;Não;Sim;Sim;Não;Não;Grande;Aumentou;Não;;Não;;Não se alterou;;;Não se alterou;;;Aumentou;Melhorou;;10;Sugere que tenha uma redução nos prazos para aplicação dos programas e disse que os serviços são excelentes.;Sim
2023;231000;ALBUQUERQUE ENGENHARIA IMP E EXP LTDA;Construção;AC;Sim;De acordo;Outro;Técnico de Segurança do Trabalho;Não;Sim;Não;Não;Sim;Sim;Não;Não;Grande;Aumentou;Sim;Orientações com programas de segurança conforme cronograma de ações.;Não;;Não se alterou;;;Reduziu muito;;;Não se alterou;Melhorou;;10;Alta demanda de contratação de serviços e falta da parte do SESI material humano para um serviço de mais excelência.;Sim
2023;231041;ALFO EXPRESS COMERCIO E SERVICOS;Indústria;AC;Sim;De acordo;Outro;Administrador;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;Não se alterou;;;Não se alterou;;Aumentou;7;;Sim
2023;231012;AMAZON TINTAS - MATRIZ;Indústria;AC;Sim;De acordo;Outro;Gerente de Loja;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Reduziu;;;Reduziu;;;Aumentou;;Aumentou;10;;Sim
