ANO,DS_CURSO,DS_INDUSTRIAL,CD_UF,VL_MATRICULAS,VL_CONCLUINTES,DS_SEXO
2010,Direito,Não,41,20485.0,2762.0,Masculino
2010,Direito,Não,21,6082.0,606.0,Masculino
2012,Direito,Não,23,11358.0,1253.0,Masculino
2013,Direito,Não,31,41163.0,5448.0,Masculino
2016,Direito,Não,42,15126.0,1952.0,Masculino
2010,Mineração e extração,Não,13,554.0,7.0,Masculino
2011,Mineração e extração,Não,15,133.0,17.0,Masculino
2020,Mineração e extração,Não,NA,0.0,0.0,Masculino
2014,Biologia,Não,14,82.0,7.0,Masculino
2019,Biologia,Não,35,3802.0,483.0,Masculino
2011,"Finanças, bancos e seguros",Não,27,95.0,23.0,Masculino
2016,"Finanças, bancos e seguros",Não,53,780.0,157.0,Masculino
2019,"Finanças, bancos e seguros",Não,27,127.0,24.0,Masculino
2019,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,43,276.0,8.0,Masculino
2013,Secretariado e trabalhos de escritório,Não,26,83.0,12.0,Masculino
2020,Religião e teologia,Não,41,2655.0,321.0,Masculino
2020,Religião e teologia,Não,43,1209.0,172.0,Masculino
2016,Medicina,Não,51,952.0,101.0,Masculino
2018,Engenharia civil e construção,Sim,51,5425.0,749.0,Masculino
2015,Serviços de beleza,Não,51,30.0,7.0,Masculino
2015,Engenharia mecânica e metalurgia,Sim,24,741.0,88.0,Masculino
2019,Engenharia mecânica e metalurgia,Sim,26,2887.0,272.0,Masculino
2019,Estatística,Não,23,219.0,17.0,Masculino
2020,Estatística,Não,53,230.0,20.0,Masculino
2020,Materiais,Sim,26,206.0,8.0,Masculino
2013,"Produção audiovisual, de mídia e cultural",Não,28,165.0,24.0,Masculino
2019,Tecnologia de proteção ambiental,Sim,NA,7.0,0.0,Masculino
2020,História e arqueologia,Não,28,76.0,0.0,Masculino
2017,Enfermagem,Não,43,2033.0,207.0,Masculino
2018,Assistência a idosos e a deficientes,Não,NA,0.0,0.0,Masculino
2020,Assistência a idosos e a deficientes,Não,51,4.0,0.0,Masculino
2013,Serviço social,Não,41,450.0,71.0,Masculino
2013,Serviço social,Não,42,256.0,39.0,Masculino
2017,Ciências da terra,Sim,29,403.0,53.0,Masculino
2010,Formação de professores em áreas específicas (exceto Letras),Não,13,10155.0,1029.0,Masculino
2013,Formação de professores em áreas específicas (exceto Letras),Não,35,49601.0,7899.0,Masculino
2018,Formação de professores em áreas específicas (exceto Letras),Não,22,10984.0,1377.0,Masculino
2018,Formação de professores em áreas específicas (exceto Letras),Não,43,19099.0,2303.0,Masculino
